,trip_id,line_name,product,station_id,station_name,direction,scheduled_departure,actual_departure,delay,delay_calc,occupancy,remarks
36,1|64461|0|86|22012025,M13,tram,900140011,Antonplatz (Berlin),S Warschauer Straße,2025-01-22T21:32:00+01:00,2025-01-22T21:32:00+01:00,0.0,0.0,low,"[""Bicycle conveyance""]"
37,1|65349|0|86|22012025,M4,tram,900140011,Antonplatz (Berlin),Falkenberg,2025-01-22T21:19:00+01:00,2025-01-22T21:33:00+01:00,840.0,840.0,medium,"[""Bicycle conveyance""]"
38,1|65404|0|86|22012025,M4,tram,900140011,Antonplatz (Berlin),"Hohenschönhausen, Zingster Str.",2025-01-22T21:33:00+01:00,2025-01-22T21:33:00+01:00,,0.0,medium,"[""Bicycle conveyance""]"
39,1|65403|0|86|22012025,M4,tram,900140011,Antonplatz (Berlin),"Hohenschönhausen, Zingster Str.",2025-01-22T21:34:00+01:00,2025-01-22T21:34:00+01:00,,0.0,medium,"[""Bicycle conveyance""]"
40,1|63686|3|86|22012025,M1,tram,900110007,Schönhauser Allee/Bornholmer Str. (Berlin),"Niederschönhausen, Schillerstr.",2025-01-22T22:38:00+01:00,2025-01-22T22:36:00+01:00,-120.0,-120.0,low,"[""Bicycle conveyance""]"
41,1|64497|6|86|22012025,M13,tram,900110007,Schönhauser Allee/Bornholmer Str. (Berlin),"Wedding, Virchow-Klinikum",2025-01-22T22:38:00+01:00,2025-01-22T22:39:00+01:00,60.0,60.0,low,"[""Bicycle conveyance""]"
42,1|63654|4|86|22012025,M1,tram,900110007,Schönhauser Allee/Bornholmer Str. (Berlin),"Mitte, Am Kupfergraben",2025-01-22T22:38:00+01:00,2025-01-22T22:40:00+01:00,120.0,120.0,low,"[""Bicycle conveyance""]"
43,1|64463|3|86|22012025,M13,tram,900110007,Schönhauser Allee/Bornholmer Str. (Berlin),S Warschauer Straße,2025-01-22T22:39:00+01:00,2025-01-22T22:41:00+01:00,120.0,120.0,low,"[""Bicycle conveyance""]"
44,1|65285|3|86|22012025,M4,tram,900140011,Antonplatz (Berlin),S Hackescher Markt,2025-01-22T22:33:00+01:00,2025-01-22T22:34:00+01:00,60.0,60.0,low,"[""Bicycle conveyance""]"
45,1|65404|3|86|22012025,M4,tram,900140011,Antonplatz (Berlin),"Hohenschönhausen, Zingster Str.",2025-01-22T22:33:00+01:00,2025-01-22T22:34:00+01:00,60.0,60.0,medium,"[""Bicycle conveyance""]"
