row_id,trip_id,station_name,event_type,scheduled_time,actual_time,delay_seconds,day_of_week,hour_of_day,service_date,punctuality_status,delay_bucket,peak_status,day_type
27,1|64464|2|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-24 00:44:00,2025-01-24 00:44:00,0.0,5,0,2025-01-24,punctual,on_time,off_peak,weekday
28,1|64464|2|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-24 00:44:00,2025-01-24 00:44:00,0.0,5,0,2025-01-24,punctual,on_time,off_peak,weekday
29,1|64499|2|86|23012025,Antonplatz (Berlin),arrival,2025-01-24 00:51:00,2025-01-24 00:51:00,0.0,5,0,2025-01-24,punctual,on_time,off_peak,weekday
30,1|64499|2|86|23012025,Antonplatz (Berlin),departure,2025-01-24 00:51:00,2025-01-24 00:51:00,0.0,5,0,2025-01-24,punctual,on_time,off_peak,weekday
31,1|64464|2|86|23012025,Antonplatz (Berlin),arrival,2025-01-24 00:53:00,2025-01-24 00:53:00,0.0,5,0,2025-01-24,punctual,on_time,off_peak,weekday
32,1|64464|2|86|23012025,Antonplatz (Berlin),departure,2025-01-24 00:53:00,2025-01-24 00:53:00,0.0,5,0,2025-01-24,punctual,on_time,off_peak,weekday
33,1|64499|2|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-24 01:01:00,2025-01-24 01:03:00,120.0,5,1,2025-01-24,late,1_to_5min_late,off_peak,weekday
34,1|64499|2|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-24 01:01:00,2025-01-24 01:03:00,120.0,5,1,2025-01-24,late,1_to_5min_late,off_peak,weekday
35,1|64464|3|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),arrival,2025-01-24 01:14:00,2025-01-24 01:14:00,0.0,5,1,2025-01-24,punctual,on_time,off_peak,weekday
36,1|64464|3|86|23012025,Schönhauser Allee/Bornholmer Str. (Berlin),departure,2025-01-24 01:14:00,2025-01-24 01:14:00,0.0,5,1,2025-01-24,punctual,on_time,off_peak,weekday
37,1|64499|3|86|23012025,Antonplatz (Berlin),arrival,2025-01-24 01:21:00,2025-01-24 01:21:00,0.0,5,1,2025-01-24,punctual,on_time,off_peak,weekday
38,1|64499|3|86|23012025,Antonplatz (Berlin),departure,2025-01-24 01:21:00,2025-01-24 01:21:00,0.0,5,1,2025-01-24,punctual,on_time,off_peak,weekday
