,trip_id,line_name,product,station_id,station_name,direction,scheduled_arrival,actual_arrival,delay,delay_calc,occupancy,remarks
26,1|65427|2|86|22012025,M4,tram,900140011,Antonplatz (Berlin),,2025-01-22T19:37:00+01:00,2025-01-22T19:37:00+01:00,,0.0,,"[""Bicycle conveyance"", ""Cancellation of intermediate stops""]"
27,1|62705|0|86|22012025,50,tram,900110007,Schönhauser Allee/Bornholmer Str. (Berlin),,2025-01-22T21:31:00+01:00,2025-01-22T21:31:00+01:00,0.0,0.0,,"[""Bicycle conveyance""]"
28,1|63616|0|86|22012025,M1,tram,900110007,Schönhauser Allee/Bornholmer Str. (Berlin),,2025-01-22T21:28:00+01:00,2025-01-22T21:32:00+01:00,240.0,240.0,,"[""Bicycle conveyance""]"
29,1|64496|0|86|22012025,M13,tram,900110007,Schönhauser Allee/Bornholmer Str. (Berlin),,2025-01-22T21:31:00+01:00,2025-01-22T21:33:00+01:00,120.0,120.0,,"[""Bicycle conveyance""]"
30,1|63665|0|86|22012025,M1,tram,900110007,Schönhauser Allee/Bornholmer Str. (Berlin),,2025-01-22T21:33:00+01:00,2025-01-22T21:34:00+01:00,60.0,60.0,,"[""Bicycle conveyance""]"
31,1|63744|1|86|22012025,M1,tram,900110007,Schönhauser Allee/Bornholmer Str. (Berlin),,2025-01-22T21:35:00+01:00,2025-01-22T21:35:00+01:00,0.0,0.0,,"[""Bicycle conveyance""]"
32,1|65246|0|86|22012025,M4,tram,900140011,Antonplatz (Berlin),,2025-01-22T21:27:00+01:00,2025-01-22T21:30:00+01:00,180.0,180.0,,"[""Bicycle conveyance""]"
33,1|64497|0|86|22012025,M13,tram,900140011,Antonplatz (Berlin),,2025-01-22T21:28:00+01:00,2025-01-22T21:31:00+01:00,180.0,180.0,,"[""Bicycle conveyance""]"
34,1|65285|0|86|22012025,M4,tram,900140011,Antonplatz (Berlin),,2025-01-22T21:33:00+01:00,2025-01-22T21:31:00+01:00,-120.0,-120.0,,"[""Bicycle conveyance""]"
35,1|63735|0|86|22012025,M1,tram,900140011,Antonplatz (Berlin),,2025-01-22T21:30:00+01:00,2025-01-22T21:32:00+01:00,120.0,120.0,,"[""Bicycle conveyance""]"
36,1|64461|0|86|22012025,M13,tram,900140011,Antonplatz (Berlin),,2025-01-22T21:32:00+01:00,2025-01-22T21:32:00+01:00,0.0,0.0,,"[""Bicycle conveyance""]"
37,1|65349|0|86|22012025,M4,tram,900140011,Antonplatz (Berlin),,2025-01-22T21:33:00+01:00,2025-01-22T21:33:00+01:00,,0.0,,"[""Bicycle conveyance"", ""Cancellation of intermediate stops""]"
38,1|65404|0|86|22012025,M4,tram,900140011,Antonplatz (Berlin),,2025-01-22T21:33:00+01:00,2025-01-22T21:33:00+01:00,,0.0,,"[""Bicycle conveyance"", ""Cancellation of intermediate stops""]"
39,1|65403|0|86|22012025,M4,tram,900140011,Antonplatz (Berlin),,2025-01-22T21:34:00+01:00,2025-01-22T21:34:00+01:00,,0.0,,"[""Bicycle conveyance"", ""Cancellation of intermediate stops""]"
40,1|63686|3|86|22012025,M1,tram,900110007,Schönhauser Allee/Bornholmer Str. (Berlin),,2025-01-22T22:38:00+01:00,2025-01-22T22:36:00+01:00,-120.0,-120.0,,"[""Bicycle conveyance""]"
41,1|64497|6|86|22012025,M13,tram,900110007,Schönhauser Allee/Bornholmer Str. (Berlin),,2025-01-22T22:38:00+01:00,2025-01-22T22:39:00+01:00,60.0,60.0,,"[""Bicycle conveyance""]"
42,1|63654|4|86|22012025,M1,tram,900110007,Schönhauser Allee/Bornholmer Str. (Berlin),,2025-01-22T22:38:00+01:00,2025-01-22T22:40:00+01:00,120.0,120.0,,"[""Bicycle conveyance""]"
